2AafBcaWbTQAa0	3	0006,0007	16829	60	Desperate Housewives	Guilty		1	2	3	2	2	12	Rex and Bree put aside their marital dramas and try to deal with their troubled son Andrew, who ran down Mama Solis in his car. Susan is beginning to think that Mike may not be who he says he is. The nosy Mrs Huber finally gets her just desserts.  Marcia Cross, Teri Hatcher, Eva Longoria, Felicity Huffman, Nicolette Sheridan
2aAvBcQwrtQAa0	4	0008,0009	15620	60	Race To The Altar			1	1	1	1	1	9	Don't you just love attention-seekers who need to be on television in order to validate their lives? The TV industry would be lost without them! In this show, eight engaged couples have the strength of their relationships tested by a series of games and challenges. The lucky winner gets a massive white wedding with all the trimmings.
2aaFBcqWRtQQQ0	5	0001,0005,0010	16929	30	The Osbournes	Smells Like Teen Spirits		1	1	1	2	1	15	Jack hangs out with pop princess Mandy Moore, Kelly goes on repeated drinking binges, Ozzy gets addicted to Mexican food and Sharon reestablishes a relationship with her father.
2aQfBcQwrTQAa0	103	0070,0060	39414	60	Desperate Housewives	Guilty		1	2	3	2	2	12	Rex and Bree put aside their marital dramas and try to deal with their troubled son Andrew, who ran down Mama Solis in his car. Susan is beginning to think that Mike may not be who he says he is. The nosy Mrs Huber finally gets her just desserts.  Marcia Cross, Teri Hatcher, Eva Longoria, Felicity Huffman, Nicolette Sheridan
2qAfBsagrtcvA0	2	0002	15607	25	Night and Day			1	1	1	1	1	9	The brightest of lives can hide dark secrets. A compelling mixture of romance, comedy and thriller in a drama series unlike any other.
2qaVBSqWRTdqA0	5	0001,0005,0010	16908	85	The Up-Late Gameshow			1	1	1	1	2	12	Stay up late, play puzzles and games and win prizes with Ex-Big Brother cast member and general loudmouth Hotdogs.
2qQvBsQWrTEVA0	38	0021	57795	340	Temporary Close			1	1	1	1	1		Station Close
2QaVRsaGbTfaA0	2	0002	15603	60	Parliament Question Time	The Senate		1	1	1	1	1		Question time from Canberra of today's session  of The Senate.
2AqVBCagREqaQ0	3	0006,0007	16830	60	The Family			1	1	1	2	1	9	A show for all the family. Or is it? Watch the family skeletons jump out of the closet when a clan of ten compete in some questionable challenges for the chance to win a million bucks! Each week a board of trustees summon 2 family members to deliver the marching orders. 
2QAVBsqgbEQqQ0	4	0008,0009	15617	60	Late Show with David Letterman			1	1	1	1	1	9	Host of this late-night comedy/variety/talk show, David Letterman has been strutting his stuff on television for over 25 years and by now knows what's funny and what isn't. Great entertainment, guests and performances mingled in amongst Dave's lightning wit and quips.
2qavRSQwbEdAq0	1	0003	18456	95	MOVIE: Tell Me I'm Dreaming			1	2	1	2	2	12	Julien lives with his parents, brother and sister on a farm in the Rhone-Alpes region of France. By his peers he's considered retarded, but in his home he's seen as a dreamer who spends a lot of time with his favourite cow, Julienne, and daydreams about kissing girls. When Julien falls in love with his brother Yannick's girlfriend, the Ducret family is thrown into crisis and as a result, the grandmother lets a family secret slip that will change the course of their lives forever. French Vincent Dénériaz,
2AaVRCqwREvqA0	2	0002	15602	70	MOVIE: Mexican Spitfire's Baby			1	1	1	2	1	9	The Spitfire befriends a lion cub when she goes to stay in Arizona. Lupe Velez, Leon Errol, Buddy Rogers, Elisabeth Risdon   
2qAvRSqGrevVA0	5	0001,0005,0010	16907	5	Video Hits Up-Late			1	1	1	1	1	0	Video hits of artists from around the world
2QAFRSqGRfaQA0	3	0006,0007	16825	60	Guthy-Renker Australia			1	1	1	1	1	0	Another home shopping show.
2QQFBsqGbVAAQ0	4	0008,0009	15621	60	Stingers	The Whisper Room		1	2	1	2	2	12	The team investigate an Internet scam gang, who hook likely victims via an online chat-room. Rebecca Gibney, Jessica Napier, Gary Sweet 
2qqFRsaWrVQQA0	5	0001,0005,0010	16901	120	Home Shopping			1	1	1	1	1	0	Home shopping program
