2aagaiahbebaa0	2	0002	18538	60	Church Of England: The Power And The Gl		1	1	1	1	1	1	9	Looks at the Church of England in Britain today, exploring its issues, personalities and contradictions at a time when all Christian churches are undergoing a process of decline.	
2aagaiahbfbaa0	2	0002	30272	75	Movie: The Man Who Changed His Mind		1	1	1	1	1	1	9	Boris Karloff stars as a scientist who dabbles in brain transplants. CAST: Boris Karloff, John Loder, Anna Lee, Frank Cellier, Cecil Parker	
2aagaiahbgcfa0	2	0002	68395	60	Movie: Fly Away Peter		1	1	1	1	1	1	9	An English family adjusts to their eldest children leaving the nest. CAST: Patrick Holt, Margaret Barton, Peter Hammond, Frederick Piper	
2aagaiahbhcfa0	2	0002	09197	65	Bowls: Tri Series: Men: Australia Vs Ne		1	1	1	1	1	1	9	Synopsis not available.	
2aagaiahbidaa0	2	0002	68148	90	Movie: Destination Murder		1	1	1	1	1	1	9	A woman enters the underworld to find the murderer of her father. CAST: Joyce MacKenzie, Stanley Clements, Hurd Hatfield	
2aagaiahbeaaa0	10	0010,0005	83337	115	The UpLate Game Show		1	1	1	1	1	1	9	A game show with a difference. Hosted by Hotdogs.	
2aagaiahbfffa0	10	0010,0005	68544	5	Video Hits UpLate		1	1	1	1	1	1	9	Synopsis not available.	
2aagaiahbgaaa0	10	0010,0005	51290	120	Infomercials		1	1	1	1	1	1	9	Synopsis not available.	
2aagaiahbiaaa0	10	0010,0005	12204	30	Enjoying Everyday Life With Joyce Meyer		1	1	1	1	1	1	9	Synopsis not available.	
2aagaiahbidaa0	10	0010,0005	37964	30	Kenneth Copeland		1	1	1	1	1	1	9	Synopsis not available.	
2aagaiahbjaaa0	10	0010,0005	66630	30	Life Today With James Robison		1	1	1	1	1	1	9	Synopsis not available.	
2aagaiahbjdaa0	10	0010,0005	34703	30	This Is Your Day With Benny Hinn		1	1	1	1	1	1	9	Synopsis not available.	
2aagaiahbeaaa0	21	0021	23219	120	Wafl Football 2006 (Cont.)		1	1	1	1	1	1	9	Catch the latest action from the WAFL.	
2aagaiahbgaaa0	21	0021	81562	240	Close		1	1	1	1	1	1	9	Synopsis not available.	
2aagaiahbeaaa0	6	0006,0007	11911	30	Tommy Lee Goes To College		1	1	1	1	1	1	9	The University of Nebraska at Lincoln welcomes a motley new student to its campus - notorious rocker TOMMY LEE. Tommy flounders in this fish-out-of-water situation complete with the quintessential collegiate challenges. Also starring MATT ELLIS and NATALIE RIEDMANN.	
2aagaiahbedaa0	6	0006,0007	11474	30	8 Simple Rules For Dating My Teenage Da		1	1	1	1	1	1	9	Bridget breaks up with Kyle for Kerry. Principal Gibb offers Cate the job of School Nurse. Rory's first day of high school proves embarrassing.	
2aagaiahbfaaa0	6	0006,0007	33331	60	Danoz Direct		1	1	1	1	1	1	9	Synopsis not available.	
2aagaiahbgaaa0	6	0006,0007	58696	180	Expo		1	1	1	1	1	1	9	Synopsis not available.	
2aagaiahbjaaa0	6	0006,0007	21047	30	Creflo A. Dollar		1	1	1	1	1	1	9	Synopsis not available.	
2aagaiahbjdaa0	6	0006,0007	77461	30	Home Shopping		1	1	1	1	1	1	9	Synopsis not available.	
