2aagaiacbebaa0	2	0002	51672	25	Baby It's You: You And Me	Baby It's You: You And Me	1	1	1	1	1	1	1	Baby It's You: You And Me	
2aagaiacbedfa0	2	0002	00066	105	Movie: Picnic At Hanging Rock  The Director's Cut	Movie: Picnic At Hanging Rock  The Director's Cut	1	1	1	1	1	1	1	Movie: Picnic At Hanging Rock  The Director's Cut	
2aagaiacbgcaa0	2	0002	77549	65	Movie: Suspended Alibi	Movie: Suspended Alibi	1	1	1	1	1	1	1	Movie: Suspended Alibi	
2aagaiacbhcfa0	2	0002	03181	65	National Press Club Address: Tony Abbott, Minister For Health And Aging	National Press Club Address: Tony Abbott, Minister For Health And Aging	1	1	1	1	1	1	1	National Press Club Address: Tony Abbott, Minister For Health And Aging	
2aagaiacbidaa0	2	0002	47061	90	Movie: Mademoiselle Fifi	Movie: Mademoiselle Fifi	1	1	1	1	1	1	1	Movie: Mademoiselle Fifi	
2aagaiacbebfa0	6	0006,0007	11442	15	Big Bite	Big Bite	1	1	1	1	1	1	1	Big Bite	
2aagaiacbedaa0	6	0006,0007	87115	90	Midnight Zoo	Midnight Zoo	1	1	1	1	1	1	1	Midnight Zoo	
2aagaiacbgaaa0	6	0006,0007	03436	60	Passions	Passions	1	1	1	1	1	1	1	Passions	
2aagaiacbhaaa0	6	0006,0007	36572	60	GuthyRenker Australia	GuthyRenker Australia	1	1	1	1	1	1	1	GuthyRenker Australia	
2aagaiacbiaaa0	6	0006,0007	50756	120	Nbc Today	Nbc Today	1	1	1	1	1	1	1	Nbc Today	
2aagaiacbeaaa0	8	0008,0009	28508	180	Quizmania	Quizmania	1	1	1	1	1	1	1	Quizmania	
2aagaiacbhaaa0	8	0008,0009	36572	30	GuthyRenker Australia	GuthyRenker Australia	1	1	1	1	1	1	1	GuthyRenker Australia	
2aagaiacbhdaa0	8	0008,0009	36572	30	GuthyRenker Australia	GuthyRenker Australia	1	1	1	1	1	1	1	GuthyRenker Australia	
2aagaiacbiaaa0	8	0008,0009	87876	30	Creflo A Dollar	Creflo A Dollar	1	1	1	1	1	1	1	Creflo A Dollar	
2aagaiacbidaa0	8	0008,0009	45171	90	Good Morning America	Good Morning America	1	1	1	1	1	1	1	Good Morning America	
2aagaiacbeaaa0	10	0010,0005	83337	115	The UpLate Game Show	The UpLate Game Show	1	1	1	1	1	1	1	The UpLate Game Show	
2aagaiacbfffa0	10	0010,0005	68544	5	Video Hits UpLate	Video Hits UpLate	1	1	1	1	1	1	1	Video Hits UpLate	
2aagaiacbgaaa0	10	0010,0005	77461	120	Home Shopping	Home Shopping	1	1	1	1	1	1	1	Home Shopping	
2aagaiacbiaaa0	10	0010,0005	12204	30	Enjoying Everyday Life With Joyce Meyer	Enjoying Everyday Life With Joyce Meyer	1	1	1	1	1	1	1	Enjoying Everyday Life With Joyce Meyer	
2aagaiacbidaa0	10	0010,0005	37964	30	Kenneth Copeland	Kenneth Copeland	1	1	1	1	1	1	1	Kenneth Copeland	
2aagaiacbjaaa0	10	0010,0005	66630	30	Life Today With James Robison	Life Today With James Robison	1	1	1	1	1	1	1	Life Today With James Robison	
2aagaiacbjdaa0	10	0010,0005	34703	30	This Is Your Day With Benny Hinn	This Is Your Day With Benny Hinn	1	1	1	1	1	1	1	This Is Your Day With Benny Hinn	
2aagaiacbeaaa0	21	0021	77768	120	Vfl Football 2006 (Cont.)	Vfl Football 2006 (Cont.)	1	1	1	1	1	1	1	Vfl Football 2006 (Cont.)	
2aagaiacbgaaa0	21	0021	81562	240	Close	Close	1	1	1	1	1	1	1	Close	
2aagaiacbeaaa0	3	0003,1283	39378	105	Movie: The Shields  (La Cuirasse) (Cont.)	Movie: The Shields  (La Cuirasse) (Cont.)	1	1	1	1	1	1	1	Movie: The Shields  (La Cuirasse) (Cont.)	
2aagaiacbfefa0	3	0003,1283	50406	55	Documentary Series: Stalin  Three Faces Of Evil	Documentary Series: Stalin  Three Faces Of Evil	1	1	1	1	1	1	1	Documentary Series: Stalin  Three Faces Of Evil	
2aagaiacbgeaa0	3	0003,1283	81562	140	Close	Close	1	1	1	1	1	1	1	Close	
2aagaiacbjaaa0	3	0003,1283	26885	25	Weatherwatch &amp; Music	Weatherwatch &amp; Music	1	1	1	1	1	1	1	Weatherwatch &amp; Music	
2aagaiacbjcfa0	3	0003,1283	67334	35	Japanese News	Japanese News	1	1	1	1	1	1	1	Japanese News	
2aagaiacbeaaa0	33	0033,1281	34077	30	Arabic News (Cont.)	Arabic News (Cont.)	1	1	1	1	1	1	1	Arabic News (Cont.)	
2aagaiacbedaa0	33	0033,1281	57346	120	Indonesian News	Indonesian News	1	1	1	1	1	1	1	Indonesian News	
2aagaiacbgdaa0	33	0033,1281	05209	175	Weather Watch	Weather Watch	1	1	1	1	1	1	1	Weather Watch	
2aagaiacbjcfa0	33	0033,1281	67334	35	Japanese News	Japanese News	1	1	1	1	1	1	1	Japanese News	
2aagaiaccaaaa0	2	0002	32889	5	The Amazing Adrenalini Brothers	The Amazing Adrenalini Brothers	1	1	1	1	1	1	1	The Amazing Adrenalini Brothers	
2aagaiaccaafa0	2	0002	43875	25	Fairly Odd Parents	Fairly Odd Parents	1	1	1	1	1	1	1	Fairly Odd Parents	
2aagaiaccadaa0	2	0002	56974	5	Edgar And Ellen	Edgar And Ellen	1	1	1	1	1	1	1	Edgar And Ellen	
2aagaiaccadfa0	2	0002	00606	25	Zombie Hotel	Zombie Hotel	1	1	1	1	1	1	1	Zombie Hotel	
2aagaiaccbaaa0	2	0002	94892	20	Atomic Betty	Atomic Betty	1	1	1	1	1	1	1	Atomic Betty	
2aagaiaccbcaa0	2	0002	32620	15	Tracey Mcbean	Tracey Mcbean	1	1	1	1	1	1	1	Tracey Mcbean	
2aagaiaccbdfa0	2	0002	16778	25	Fantastic Flying Journey	Fantastic Flying Journey	1	1	1	1	1	1	1	Fantastic Flying Journey	
